82.5	9.5
49.642	9.5
48.557	9.194
47.467	8.905
46.373	8.632
45.275	8.375
44.173	8.134
43.068	7.909
41.96	7.702
40.849	7.51
39.735	7.335
38.618	7.177
37.5	7.035
36.379	6.91
35.257	6.801
34.133	6.709
33.008	6.634
31.882	6.575
30.755	6.534
29.628	6.508
28.5	6.5
-28.5	6.5
-29.628	6.508
-30.755	6.534
-31.882	6.575
-33.008	6.634
-34.133	6.709
-35.257	6.801
-36.379	6.91
-37.5	7.035
-38.618	7.177
-39.735	7.335
-40.849	7.51
-41.96	7.702
-43.068	7.909
-44.173	8.134
-45.275	8.375
-46.373	8.632
-47.467	8.905
-48.557	9.194
-49.642	9.5
-82.5	9.5
-82.5	-9.5
-49.642	-9.5
-48.557	-9.194
-47.467	-8.905
-46.373	-8.632
-45.275	-8.375
-44.173	-8.134
-43.068	-7.909
-41.96	-7.702
-40.849	-7.51
-39.735	-7.335
-38.618	-7.177
-37.5	-7.035
-36.379	-6.91
-35.257	-6.801
-34.133	-6.709
-33.008	-6.634
-31.882	-6.575
-30.755	-6.534
-29.628	-6.508
-28.5	-6.5
28.5	-6.5
29.628	-6.508
30.755	-6.534
31.882	-6.575
33.008	-6.634
34.133	-6.709
35.257	-6.801
36.379	-6.91
37.5	-7.035
38.618	-7.177
39.735	-7.335
40.849	-7.51
41.96	-7.702
43.068	-7.909
44.173	-8.134
45.275	-8.375
46.373	-8.632
47.467	-8.905
48.557	-9.194
49.642	-9.5
82.5	-9.5
82.5	9.5
